domain,G,condition,ppl,ppl_delta_pct,top1_agree
prose,-,baseline,8.6378,0,1
prose,2,aligned,109.4750,1167.39,0.3285
prose,2,naive,2235.7056,25782.80,0.1093
prose,4,aligned,34.7908,302.77,0.4897
prose,4,naive,590.5662,6736.99,0.1791
math,-,baseline,3.4866,0,1
math,2,aligned,17.3026,396.26,0.4168
math,2,naive,1276.4482,36510.21,0.0812
math,4,aligned,6.7235,92.84,0.6818
math,4,naive,256.5100,7257.04,0.1235
code,-,baseline,3.2049,0,1
code,2,aligned,8.8130,174.99,0.5722
code,2,naive,858.2628,26680.05,0.1208
code,4,aligned,4.3058,34.35,0.7647
code,4,naive,124.7413,3792.26,0.2082
stories,-,baseline,4.2493,0,1
stories,2,aligned,12.6214,197.02,0.5113
stories,2,naive,1593.4398,37398.75,0.1248
stories,4,aligned,7.0306,65.45,0.6385
stories,4,naive,284.2526,6589.38,0.1805
