domain,G,condition,ppl,ppl_delta_pct,top1_agree
prose,-,baseline,10.0609,0,1
prose,8,aligned,388.0920,3757.44,0.1957
prose,8,naive,1275.3893,12576.72,0.1326
prose,16,aligned,184.2431,1731.28,0.2632
prose,16,naive,496.9539,4839.47,0.1898
math,-,baseline,6.3697,0,1
math,8,aligned,115.6696,1715.94,0.2412
math,8,naive,772.1231,12021.86,0.1201
math,16,aligned,50.3204,690.00,0.3777
math,16,naive,320.0028,4923.85,0.1720
code,-,baseline,3.7623,0,1
code,8,aligned,175.7023,4570.11,0.1517
code,8,naive,1453.6252,38536.87,0.0394
code,16,aligned,34.9842,829.87,0.3606
code,16,naive,498.8688,13159.76,0.0621
stories,-,baseline,5.1296,0,1
stories,8,aligned,75.2069,1366.15,0.3028
stories,8,naive,213.5401,4062.92,0.2104
stories,16,aligned,33.0686,544.67,0.4168
stories,16,naive,98.2815,1815.98,0.2605
