domain,G,condition,ppl,ppl_delta_pct,top1_agree,mean_kl
prose,-,baseline,10.1195,0,1,0
prose,4,static,1407.2138,13805.98,0.1430,4.84611
prose,4,dynamic,1320.2613,12946.72,0.1430,4.80264
prose,8,static,1312.8451,12873.44,0.1323,4.77832
prose,8,dynamic,1203.8313,11796.17,0.1429,4.72703
prose,16,static,664.9552,6471.04,0.1543,4.13476
prose,16,dynamic,374.8417,3604.16,0.1983,3.58125
math,-,baseline,6.3895,0,1,0
math,4,static,969.6730,15075.95,0.1345,4.98721
math,4,dynamic,978.4421,15213.19,0.1334,4.99942
math,8,static,778.6201,12085.86,0.1285,4.76959
math,8,dynamic,715.2541,11094.14,0.1402,4.68911
math,16,static,455.5318,7029.34,0.1530,4.23922
math,16,dynamic,214.8753,3262.92,0.2021,3.47734
code,-,baseline,3.7314,0,1,0
code,4,static,2770.4834,74147.52,0.0341,6.76227
code,4,dynamic,2012.1586,53824.81,0.0414,6.44335
code,8,static,1651.9401,44171.14,0.0419,6.23610
code,8,dynamic,1213.1174,32410.92,0.0450,5.91447
code,16,static,506.0587,13462.11,0.0701,5.02376
code,16,dynamic,111.9462,2900.10,0.1699,3.52479
stories,-,baseline,5.1272,0,1,0
stories,4,static,300.1550,5754.12,0.1734,3.87359
stories,4,dynamic,295.1383,5656.27,0.1722,3.85856
stories,8,static,279.4279,5349.86,0.1598,3.82067
stories,8,dynamic,234.4757,4473.13,0.1851,3.61723
stories,16,static,170.2486,3220.47,0.2009,3.32783
stories,16,dynamic,91.7687,1689.82,0.2657,2.69953
