domain,G,condition,ppl,ppl_delta_pct,top1_agree
prose,-,baseline,12.3630,0,1
prose,2,aligned,464.5648,3657.71,0.3214
prose,2,naive,14666.8576,118535.20,0.0440
prose,4,aligned,75.0966,507.43,0.4506
prose,4,naive,950.1688,7585.59,0.2038
math,-,baseline,3.4224,0,1
math,2,aligned,25.7215,651.56,0.4210
math,2,naive,3587.3835,104719.96,0.0379
math,4,aligned,13.1180,283.29,0.5954
math,4,naive,200.3712,5754.66,0.1610
code,-,baseline,4.3396,0,1
code,2,aligned,32.1783,641.51,0.4410
code,2,naive,12984.8682,299119.86,0.0245
code,4,aligned,15.4863,256.86,0.6035
code,4,naive,721.9840,16537.21,0.1289
stories,-,baseline,5.0564,0,1
stories,2,aligned,35.6358,604.76,0.4318
stories,2,naive,5925.9094,117095.77,0.0431
stories,4,aligned,12.5201,147.61,0.5810
stories,4,naive,239.6216,4638.96,0.1795
