domain,G,condition,ppl,ppl_delta_pct,top1_agree
prose,-,baseline,12.3630,0,1
prose,2,naive,18516.9315,149677.13,0.0426
prose,2,procrustes,285.1250,2206.28,0.3496
prose,2,multiref,135.4832,995.88,0.4061
prose,2,ours,664.4812,5274.76,0.3109
prose,4,naive,950.1688,7585.59,0.2038
prose,4,procrustes,28.1250,127.49,0.6218
prose,4,multiref,26.1114,111.21,0.6233
prose,4,ours,77.6497,528.08,0.4518
math,-,baseline,3.4224,0,1
math,2,naive,4761.1178,139015.36,0.0328
math,2,procrustes,18.9745,454.42,0.4954
math,2,multiref,8.1082,136.91,0.6137
math,2,ours,31.3090,814.82,0.4061
math,4,naive,200.3712,5754.66,0.1610
math,4,procrustes,4.5388,32.62,0.7683
math,4,multiref,4.0999,19.79,0.7916
math,4,ours,11.4464,234.45,0.5996
code,-,baseline,4.3396,0,1
code,2,naive,20863.6031,480675.34,0.0201
code,2,procrustes,20.5699,374.01,0.5181
code,2,multiref,11.6548,168.57,0.6035
code,2,ours,41.6282,859.27,0.4393
code,4,naive,721.9840,16537.21,0.1289
code,4,procrustes,6.2373,43.73,0.7688
code,4,multiref,5.7453,32.39,0.7867
code,4,ours,16.1896,273.07,0.6018
stories,-,baseline,5.0564,0,1
stories,2,naive,4961.0016,98012.94,0.0538
stories,2,procrustes,28.4584,462.82,0.4381
stories,2,multiref,15.5468,207.47,0.5401
stories,2,ours,45.0621,791.19,0.4207
stories,4,naive,239.6216,4638.96,0.1795
stories,4,procrustes,6.9083,36.63,0.7045
stories,4,multiref,5.8957,16.60,0.7363
stories,4,ours,13.5937,168.84,0.5815
