domain,G,condition,ppl,ppl_delta_pct,top1_agree,mean_kl
prose,-,baseline,13.5773,0,1,0
prose,2,static,45412.0269,334370.70,0.0296,8.88726
prose,2,dynamic,63855.1934,470209.14,0.0340,9.20631
prose,4,static,790.8049,5724.47,0.1931,4.59701
prose,4,dynamic,1250.2312,9108.26,0.2139,5.19013
math,-,baseline,3.6003,0,1,0
math,2,static,16043.9213,445521.66,0.0225,9.14191
math,2,dynamic,3551.8461,98552.91,0.0510,7.59071
math,4,static,166.1638,4515.22,0.1908,4.65105
math,4,dynamic,289.3798,7937.56,0.2030,5.14231
code,-,baseline,4.2522,0,1,0
code,2,static,81700.0076,1921246.08,0.0103,10.53684
code,2,dynamic,20668.7994,485969.93,0.0241,8.96144
code,4,static,342.7839,7961.28,0.1984,4.96600
code,4,dynamic,402.0050,9353.99,0.2085,4.79661
stories,-,baseline,5.0925,0,1,0
stories,2,static,11645.7674,228586.09,0.0318,8.23782
stories,2,dynamic,26681.5003,523840.41,0.0274,9.02822
stories,4,static,224.3065,4304.67,0.1988,4.14039
stories,4,dynamic,267.8763,5160.24,0.2071,4.36938
